INDEX,Intercept,OAU2,OAU3,MTY2,EIN1,EIN3,SIN2,SIN3,EFI1,EFI3,AFI2,AFI3,PRICE
248,3.453,1.618,0.248,-0.924,-0.922,3.142,0.228,0.175,-0.201,0.989,0.541,-0.286,0.276
249,5.176,1.072,0.468,-0.467,-1.576,0.477,1.206,-0.971,0.317,-0.05,-0.15,1.121,0.201
250,4.531,0.879,-0.027,0.071,-0.991,1.575,0.716,-0.144,0.178,1.47,0.1,0.531,1.008
251,4.579,0.207,0.301,0.538,-1.55,0.204,1.353,0.298,0.541,0.715,0.326,0.441,-0.011
257,1.987,0.388,-0.19,-0.426,1.129,0.975,1.461,-1.284,0.444,0.277,-0.896,-0.143,0.191
258,5.553,0.333,0.33,0.203,0.563,0.216,0.12,0.319,0.229,0.283,0.045,0.175,0.149
260,2.343,0.836,-0.436,0.019,-0.909,0.387,3.485,-0.355,0.334,0.686,-0.231,0.021,-0.458
262,5.905,0.235,0.305,0.076,-0.14,-0.116,-0.167,0.539,0.271,0.674,0.346,0.185,0.175
263,1.035,-0.207,0.126,0.277,-0.24,0.15,3.542,0.512,-0.088,0.244,0.141,-0.265,-0.004
265,2.635,0.514,0.465,1.044,-0.903,1.684,3.463,-0.072,0.293,-0.469,-0.126,0.467,-0.923
266,3.274,0.594,-0.4,-0.763,-0.796,0.577,4.054,0.087,0.476,0.466,1.145,-0.812,0.476
268,4.092,0.199,-0.415,0.505,0.146,0.559,0.341,0.377,0.141,-0.256,0.57,-0.194,0.732
269,4.363,0.111,-0.595,1.262,-0.663,0.567,1.13,-0.1,1.282,0.337,0.809,-0.6,0.198
270,3.378,0.44,0.006,0.47,-0.22,0.916,2.156,-0.782,0.873,0.041,1.081,-0.029,0.287
271,4.179,-0.024,0.015,0.513,0.357,0.777,0.206,0.215,1.006,0.425,-0.142,0.375,0.154
272,2.457,-0.482,0.106,0.226,0.853,-0.272,0.351,-1.643,-0.6,0.806,-0.458,-0.175,0.298
274,1.385,1.243,-1.093,-0.175,-0.409,1.452,2.444,-0.441,-0.569,1.323,0.27,0.036,0.025
278,2.714,0.27,0.031,-0.094,-0.127,0.168,3.539,0.095,0.099,0.076,0.062,0.051,-0.094
279,2.726,0.225,0.924,0.354,-0.144,-0.511,0.046,1.728,-0.505,0.283,1.194,0.51,0.046
281,7.698,0.645,0.298,0.046,-2.38,0.288,0.402,-0.039,0.517,0.381,0.37,0.346,0.36
284,2.849,0.281,-0.174,0.423,0.009,0.394,-0.606,-0.01,-0.004,-0.146,0.569,-0.122,0.588
288,2.219,-0.455,-0.142,-0.242,-0.165,-0.36,2.984,0.748,0.162,0.391,0.059,-0.908,0.121
290,6.489,0.147,0.368,0.215,-0.353,0.034,-0.328,0.441,0.561,0.078,0.311,0.012,0.126
294,6.948,0.641,-0.21,0.488,-1.816,1.346,0.54,0.117,-0.476,1.388,0.216,0.402,1.112
295,5.516,0.358,0.739,-0.067,-0.656,0.11,0.633,-0.895,0.499,1.051,0.49,0.062,0.197
298,4.512,0.282,0.144,0.028,0.173,0.998,-0.917,0.429,-0.037,-0.186,-0.059,0.012,-0.454
299,8.023,-0.262,-0.008,-0.136,-0.319,0.091,1.208,0.357,0.117,0.056,-0.28,0.015,0.462
300,4.081,0.356,-0.658,-0.761,-1.433,-0.46,2.916,0.891,0.309,0.395,-0.27,0.568,-0.214
301,1.722,0.236,-0.293,0.654,-0.958,0.812,1.647,0.688,-0.116,1.171,-0.144,-0.654,-0.518
303,5.443,-0.025,-0.333,0.366,-0.799,0.923,0.162,0.526,0.179,0.351,0.128,-0.105,0.141
305,4.877,0.675,-0.309,0.953,-0.697,0.228,1.656,-0.54,-0.302,0.958,1.181,-0.957,0.317
306,7.057,1.344,1.021,-0.228,-2.485,-0.159,1.572,1.081,-0.237,-0.244,-0.511,0.554,-1.302
308,8.593,0.463,0.323,-0.041,-2.764,0.295,0.64,0.343,0.578,0.344,1.032,0.365,0.141
313,5.787,0.161,0.046,0.273,-2.361,0.615,0.406,0.261,0.038,0.401,0.391,0.025,0.113
314,1.697,0.392,0.215,0.204,-0.459,0.408,1.044,-0.077,-0.18,0.19,0.201,-0.423,0.154
316,11.463,0.334,0.355,0.354,-3.266,0.35,0.238,0.34,0.339,0.342,0.356,0.348,0.353
317,3.967,0.955,0.337,-0.119,-0.758,0.385,2.063,-0.551,0.382,1.603,1.491,-0.809,-0.495
318,3.207,-0.142,0.316,0.327,-0.175,0.345,0.22,0.048,-0.045,-0.197,0.162,-0.054,0.048
319,1.928,0.958,-0.118,0.805,0.063,3.41,-0.237,0.171,0.282,0.451,0.211,0.411,0.052
320,6.896,0.701,0.926,0.578,-2.571,0.362,0.754,-0.561,0.111,0.976,0.731,-0.579,0.106
323,4.538,0.225,0.273,0.541,-1.541,0.192,1.353,0.327,0.545,0.72,0.361,0.461,-0.046
325,4.751,0.19,0.741,1.798,-0.29,-0.015,1.394,-0.919,0.361,0.36,1.072,-1.105,1.245
330,4.204,-0.439,-0.502,0.439,-0.662,0.607,-0.008,-2.048,1.318,0.714,1.87,0.499,0.759
334,5.021,0.83,0.87,0.415,-1.367,0.68,0.461,-0.752,0.518,0.909,1.032,-0.465,-0.586
335,1.893,0.316,0.158,0.05,-0.434,0.071,1.365,-0.15,0.538,-0.124,0.075,0.328,-0.386
337,1.201,-0.369,-0.424,0.05,-0.173,0.213,0.145,0.004,0.027,0.258,0.249,0.112,-0.088
338,5.04,1.537,0.178,-0.279,-2.054,0.724,2.688,-0.481,0.103,0.883,0.532,-0.54,-0.206
339,8.431,0.399,0.666,0.681,-0.829,1.217,-0.445,-0.041,0.346,0.096,0.198,-0.031,0.311
340,5.514,-0.356,-0.506,0.297,-0.938,0.787,-0.455,1.013,0.296,0.855,0.263,0.169,0.504
341,5.504,-0.236,-0.572,-0.12,-1.339,0.449,0.67,0.633,-0.049,0.63,0.397,0.474,0.373
342,2.167,0.36,0.064,0.447,-0.507,0.338,1.295,0.017,-0.206,0.257,-0.427,-0.294,0.163
346,4.082,0.144,-0.441,0.149,-0.542,0.042,1.185,-0.308,0.499,0.638,0.158,-0.632,0.413
349,4.29,0.006,0.251,0.266,-1.356,-0.561,-0.117,-1.223,0.272,-0.326,0.839,0.268,0.266
350,4.132,-0.264,-1.394,-0.603,0.411,0.208,-0.018,0.355,0.254,0.291,1.006,0.027,0.156
351,7.194,0.256,0.211,-0.603,-1.389,0.03,0.241,0.595,0.578,0.666,0.314,0.646,0.316
357,6.643,0.495,0.83,0.601,-1.415,0.515,0.341,-0.476,0.342,0.938,0.482,-0.018,0.165
360,5.617,0.486,0.543,0.544,-0.395,0.367,0.216,-0.161,-0.3,0.29,0.144,0.761,0.284
362,6.352,0.732,0.444,0.676,-0.671,0.619,0.367,0.038,0.404,-0.015,-0.366,0.545,0.556
367,4.363,0.507,-0.493,0.45,-0.8,0.733,2.115,-0.171,0.544,0.318,0.074,-0.249,0.21
368,8.197,-0.457,0.268,1.074,-2.7,-0.221,0.384,0.072,0.537,0.747,1.199,0.77,0.319
370,4.794,0.145,0.153,0.164,0.054,0.142,1.906,0.138,0.115,0.143,0.124,0.137,0.123
373,7.134,0.367,0.032,0.268,-1.518,0.35,0.425,0.237,0.014,0.193,0.315,0.312,0.184
374,1.61,0.489,0.152,0.296,-0.893,0.369,2.968,0.436,0.222,0.768,0.3,-0.149,-0.271
377,5.63,1.615,0.596,-0.211,-1.319,2.069,0.235,-0.583,0.331,0.441,1.263,-0.567,-0.102
380,2.167,0.101,-0.055,-0.185,0.031,-0.11,4.845,0.175,0.056,-0.089,0.253,0.054,0.167
381,2.809,-0.293,0.148,1.312,-1.562,-0.182,2.337,0.611,1.3,1.657,0.268,-0.423,0.361
383,1.65,-0.259,-0.451,0.593,-0.128,0.672,0.571,0.412,-0.039,-0.198,-0.078,0.211,-0.243
384,2.991,-0.584,-0.472,0.222,-1.163,2.905,0.354,0.343,-0.594,0.683,0.563,-0.619,0.326
385,3.13,0.372,1.194,0.018,-0.256,-0.076,2.229,0.47,0.116,0.323,0.192,-1.358,0.148
387,4.456,0.069,0.243,0.381,-0.864,0.314,0.894,-0.312,0.516,0.366,0.275,-0.483,0.428
388,4.136,0.009,0.015,0.247,-0.057,0.243,0.242,0.177,0.297,0.009,0.247,0.293,-0.276
390,4.909,0.649,-0.572,0.128,-0.015,0.2,0.909,-0.311,-0.552,0.792,1.592,-0.408,-0.26
394,3.154,0.644,0.078,0.789,-1.687,0.072,1.696,-0.051,0.753,0.862,1.331,0.312,-0.029
396,5.061,0.696,0.671,0.903,-1.923,0.468,1.161,-0.121,0.207,0.833,-0.09,-0.478,0.105
398,7.069,0.262,0.862,1.711,-0.845,1.168,1.705,-1.725,1.202,-0.08,1.085,-0.702,0.572
400,7.13,1.286,0.618,0.292,-2.415,1.399,0.857,-1.27,0.452,1.522,1.171,-0.09,0.344
403,2.744,-0.101,0.35,0.126,-0.075,-0.317,1.182,-0.202,-0.231,0.563,0.324,-0.021,-0.165
404,4.782,0.52,0.255,0.484,-1.457,0.4,1.01,0.406,0.549,0.517,0.402,0.262,0.043
407,3.968,1.089,0.333,0.686,-1.162,0.163,1.647,-0.179,0.534,0.506,0.271,0.077,0.295
408,10.281,0.749,0.49,0.247,-3.328,0.633,0.108,0.604,0.152,0.521,0.265,0.153,0.603
410,5.531,0.434,0.507,0.979,-2.293,1.281,0.836,0.479,1.301,1.614,1.155,0.087,0.573
414,1.181,0.229,0.004,-0.233,-0.434,-0.02,0.089,-0.107,-0.088,-0.037,0.059,0.113,0.113
418,5.479,0.635,0.851,0.272,-2.025,0.06,0.791,-0.282,0.536,0.355,0.587,0.744,-0.063
421,6.677,0.294,0.767,0.763,-1.261,0.174,0.842,-0.177,0.634,0.322,1.264,-0.72,0.336
423,7.197,0.754,0.546,1.145,-1.241,0.294,0.819,0.101,0.673,0.263,0.738,-0.628,0.312
425,3.108,0.484,0.551,0.319,0.354,-0.01,0.425,-0.206,-0.187,-0.006,0.44,-0.111,0.135
426,4.833,0.087,-0.054,0.652,-1.367,1.601,0.518,0.08,0.086,0.246,-0.348,0.603,0.351
427,6.938,-0.314,0.057,-0.184,-1.324,0.612,0.252,0.075,0.429,0.187,-0.154,0.473,0.709
428,3.436,0.543,0.527,0.423,-0.237,-0.178,0.887,-0.846,0.301,1.042,1.048,-0.538,-0.186
430,1.418,1.006,-0.587,0.461,-0.697,1.248,2.921,-0.035,-0.752,1.367,-0.006,0.021,0.023
431,2.739,0.087,0.237,0.931,-0.022,0.433,3.149,1.321,-0.549,0.115,-0.45,-0.957,-0.935
432,8.066,0.864,0.1,0.541,-2.024,0.17,0.978,0.256,0.125,0.2,0.435,0.153,0.255
437,0.744,-0.045,-0.279,0.533,-0.252,0.766,1.234,0.421,-0.168,0.419,-0.176,-0.108,-0.509
442,7.987,0.703,0.502,0.365,-0.795,0.112,0.189,-0.498,0.651,-0.147,0.798,-0.817,0.559
443,3.126,-0.175,0.217,0.333,-0.387,0.043,3.147,-0.169,0.049,-0.018,0.095,-0.044,0.399
444,5.861,0.422,-1.206,-0.503,-1.716,1.812,3.059,-1.721,1.753,1.368,0.433,-0.423,0.467
445,4.156,1.375,1.29,0.363,-0.319,0.56,2.377,-0.975,0.301,0.248,0.381,-0.967,-0.149
446,3.135,0.574,0.344,0.468,-1.613,0.231,1.109,-0.441,0.832,0.666,1.469,0.537,0.084
447,3.952,0.088,-0.014,-0.113,0.619,0.222,-1.794,0.585,0.362,-0.512,-0.275,0.634,0.52
451,5.04,0.335,-0.362,0.827,-1.837,-0.347,2.418,-0.197,1.764,1.365,-0.029,0.005,0.447
453,1.895,-0.166,0.926,1.744,-1.004,1.255,2.524,0.498,1.293,0.403,0.491,0.636,-0.191
455,1.935,0.299,-0.368,-0.12,-0.253,0.056,2.706,0.094,-0.14,0.44,-0.038,-0.222,0.352
456,8.5,0.077,-0.301,0.383,-1.919,0.656,0.489,0.455,0.92,0.234,0.694,0.631,0.526
458,7.884,0.404,0.486,0.244,-1.888,-0.048,2.23,-0.484,-0.025,0.336,0.21,-0.094,0.395
459,2.847,-0.085,0.656,-0.858,0.078,1.195,-0.142,-0.656,-0.195,0.628,-0.403,0.978,0.146
460,1.548,0.082,-0.159,0.204,0.007,0.41,1.727,-0.154,-0.27,0.349,-0.113,-0.087,-0.11
462,3.712,0.724,0.445,0.563,-0.712,0.493,0.902,-0.281,1.243,0.352,1.28,-0.043,1.91
463,3.694,1.477,0.438,0.643,-0.484,1.595,-0.24,-0.944,0.088,0.047,0.392,-0.083,0.49
467,1.795,-0.038,-0.212,0.376,-0.142,0.407,3.176,0.027,0.137,-0.086,-0.179,-0.085,-0.201
468,3.446,0.261,-0.626,-0.243,-0.445,0.615,1.29,-1.147,0.02,0.855,1.072,-0.241,1.029
469,5.767,3.183,1.54,-0.064,-1.901,3.749,0.506,-0.03,-0.244,0.341,0.933,-0.946,0.212
470,5.884,1.382,0.79,-0.848,-1.653,2.207,-0.635,0.012,-0.473,0.023,0.127,0.357,0.216
474,5.604,0.4,0.152,0.632,-1.354,0.38,0.862,-0.851,0.758,0.947,1.143,-0.312,0.605
477,6.921,0.76,0.471,0.683,-1.964,0.164,0.251,-0.218,0.017,0.662,0.879,0.391,0.52
479,4.48,-0.433,-0.212,0.141,-0.171,-0.118,0.484,-0.312,-0.201,1.348,0.297,-0.024,0.331
481,2.818,0.68,0.641,-0.07,-1.216,0.569,1.577,-0.169,0.754,0.862,0.189,0.267,-0.316
484,4.289,0.111,0.421,0.761,-0.45,-0.223,0.198,-0.644,0.739,0.151,1.449,-0.633,1.209
485,2.661,0.122,0.038,0.26,-0.498,0.614,2.68,-0.399,0.895,0.485,0.712,-0.274,0.326
486,2.626,0.801,0.289,0.655,-1.368,0.79,2.375,0.133,0.613,1.482,0.551,0.349,-0.235
488,5.219,0.741,0.612,0.381,-0.753,0.754,0.202,-0.288,0.866,0.879,1.675,-0.748,0.443
489,2.65,0.886,0.121,0.708,-0.902,0.773,2.018,0.055,0.525,0.396,0.161,0.274,-0.318
491,1.069,1.146,-0.347,0.449,-0.367,0.895,1.923,-0.454,-0.474,0.402,-0.056,0.415,-0.044
492,6.259,0.652,0.891,1.81,-1.576,2.047,0.014,-0.098,-0.458,-0.187,0.724,-1.398,1.871
493,5.452,1.887,0.97,0.889,-1.759,0.828,1.332,-0.906,0.13,1.12,0.765,0.111,0.018
495,4.13,0.719,0.597,0.719,-0.182,0.608,0.226,-0.737,0.299,0.089,1.008,-0.238,0.911
498,3.413,0.34,-0.084,0.052,-0.635,-0.133,0.216,-1.177,0.475,0.2,0.429,0.163,0.72
499,4.577,1.159,0.237,-0.017,-0.587,1.496,1.001,-1.064,0.674,0.711,1.496,-0.969,0.556
